"driverref","avg_position"
"serafini",2.0000000000000000
"george_amick",2.0000000000000000
"wallard",3.5000000000000000
"fagioli",4.3750000000000000
"hamilton",4.7701863354037267
"fangio",4.7931034482758621
"galvez",5.0000000000000000
"chitwood",5.0000000000000000
"thompson",5.0000000000000000
"farina",5.8378378378378378
"pozzi",6.0000000000000000
"oscar_gonzalez",6.0000000000000000
"max_verstappen",6.1657142857142857
"michael_schumacher",6.8798701298701299
"sparken",7.0000000000000000
"broeker",7.0000000000000000
"macdowel",7.0000000000000000
"forberg",7.0000000000000000
"blanchard",7.0000000000000000
"pagani",7.0000000000000000
"riess",7.0000000000000000
"hawthorn",7.0208333333333333
"vettel",7.0933333333333333
"clark",7.0958904109589041
"stewart",7.4100000000000000
"prost",7.5049504950495050
"gonzalez",7.6551724137931034
"taruffi",7.6666666666666667
"perdisa",7.6666666666666667
"bottas",7.9201877934272300
"ginther",7.9629629629629630
"drogo",8.0000000000000000
"williams",8.0000000000000000
"john_barber",8.0000000000000000
"poore",8.0000000000000000
"milhoux",8.0000000000000000
"rees",8.0000000000000000
"botha",8.0000000000000000
"chaboud",8.0000000000000000
"leclerc",8.1217391304347826
"trips",8.1785714285714286
"hulme",8.2053571428571429
"rosberg",8.2524271844660194
"senna",8.2592592592592593
"alonso",8.3621621621621622
"ascari",8.4444444444444444
"raikkonen",8.4914772727272727
"penske",8.5000000000000000
"lang",8.5000000000000000
"rose",8.5000000000000000
"holland",8.5000000000000000
"kling",8.5000000000000000
"montoya",8.5263157894736842
"musso",8.6153846153846154
"gerard",8.7142857142857143
"mclaren",8.7378640776699029
"cross",8.7500000000000000
"mantovani",8.8888888888888889
"massa",8.9963099630996310
"tingelstad",9.0000000000000000
"takahashi",9.0000000000000000
"niedermayr",9.0000000000000000
"hobbs",9.0000000000000000
"laurent",9.0000000000000000
"scherrer",9.0000000000000000
"crockett",9.0000000000000000
"larreta",9.0000000000000000
"quester",9.0000000000000000
"shawe_taylor",9.0000000000000000
"johnstone",9.0000000000000000
"ryan",9.0000000000000000
"norris",9.0000000000000000
"rodriguez",9.0555555555555556
"moss",9.0684931506849315
"jack_brabham",9.1860465116279070
"phil_hill",9.2884615384615385
"scheckter",9.2920353982300885
"nazaruk",9.3333333333333333
"perez",9.3654618473895582
"coulthard",9.4858299595141700
"castellotti",9.5294117647058824
"wacker",9.6666666666666667
"volonterio",9.6666666666666667
"button",9.6957928802588997
"gurney",9.7586206896551724
"webber",9.7880184331797235
"spence",9.8055555555555556
"fischer",9.8571428571428571
"sainz",9.8628571428571429
"ralf_schumacher",9.8666666666666667
"hakkinen",9.8848484848484848
"villoresi",9.8857142857142857
"damon_hill",9.9180327868852459
"ricciardo",9.9230769230769231
"maggs",9.9259259259259259
"cevert",9.9361702127659574
"bandini",9.9545454545454545
"lewis-evans",10.0000000000000000
"schroeder",10.0000000000000000
"rindt",10.0000000000000000
"uria",10.0000000000000000
"tomaso",10.0000000000000000
"darter",10.0000000000000000
"fry",10.0000000000000000
